customer_id,company_name,industry,company_size,country_name,signup_date,signup_source,is_active,churned_at,churn_reason,nps_score,created_at,plan_id,status,billing_cycle,mrr_usd,discount_pct,cancellation_reason,start_date,end_date,plan_name,plan_tier,monthly_price_usd,total_events,unique_days_active,avg_session_dur_sec,unique_features,engagement_score,total_tickets,escalated_count,avg_satisfaction,lifetime_value,is_churned
1,Rush Platform,E-commerce,small,France,2023-01-31 00:00:00+00:00,partner,False,2024-02-26 10:13:36+00:00,Outgrew the platform,7.0,2026-03-22 03:05:22.902197+00:00,1.0,cancelled,annual,0.0,15.0,Missing features,2023-01-31 00:00:00+00:00,2023-04-20 00:00:00+00:00,Free,free,0.0,28,20,1918.44,13,24.89,10.0,0.0,3.3333333333333335,988.7,1
2,TrekStack,Manufacturing,small,Canada,2023-06-09 00:00:00+00:00,referral,True,,none,7.0,2026-03-22 03:05:22.902197+00:00,1.0,paused,monthly,0.0,0.0,none,2023-06-09 00:00:00+00:00,,Free,free,0.0,18,13,1820.3333333333333,10,18.17,7.0,1.0,5.0,388.21,0
3,Wave Group,Education,enterprise,United States,2023-10-28 00:00:00+00:00,organic,True,,none,7.0,2026-03-22 03:05:22.902197+00:00,1.0,active,annual,0.0,20.0,none,2023-10-28 00:00:00+00:00,,Free,free,0.0,19,14,1733.5333333333333,10,18.58,9.0,1.0,4.0,1519.2699999999998,0
4,KeenSoftware,Technology,large,United Kingdom,2024-04-09 00:00:00+00:00,partner,True,,none,7.0,2026-03-22 03:05:22.902197+00:00,6.0,active,annual,82.5,0.0,none,2024-08-10 00:00:00+00:00,,Enterprise,enterprise,99.0,25,18,1690.1818181818182,9,21.93,4.0,0.0,4.0,1125.7,0
5,QuestAnalytics,Logistics,large,United States,2023-10-04 00:00:00+00:00,partner,True,,none,7.0,2026-03-22 03:05:22.902197+00:00,3.0,active,annual,15.83,0.0,none,2024-10-01 00:00:00+00:00,,Starter Plus,starter,19.0,29,20,1897.7272727272727,11,25.03,3.0,0.0,0.0,1324.98,0
6,RiftWorks,Insurance,small,United Kingdom,2025-08-23 00:00:00+00:00,partner,True,,none,7.0,2026-03-22 03:05:22.902197+00:00,1.0,paused,monthly,0.0,0.0,none,2025-08-23 00:00:00+00:00,,Free,free,0.0,21,19,1703.5263157894738,11,20.88,5.0,1.0,4.0,3280.84,0
7,PeakIO,Telecommunications,large,Canada,2024-08-21 00:00:00+00:00,paid_ads,True,,none,7.0,2026-03-22 03:05:22.902197+00:00,1.0,active,annual,0.0,0.0,none,2024-08-21 00:00:00+00:00,,Free,free,0.0,33,27,1464.0416666666667,14,27.58,11.0,4.0,4.5,4392.51,0
8,Data Systems,Finance,large,United States,2024-04-24 00:00:00+00:00,organic,True,,none,7.0,2026-03-22 03:05:22.902197+00:00,1.0,active,monthly,0.0,0.0,none,2024-04-24 00:00:00+00:00,,Free,free,0.0,26,21,1670.3478260869565,11,23.37,3.0,0.0,5.0,886.83,0
9,Iris Hub,Education,enterprise,Singapore,2025-06-15 00:00:00+00:00,paid_ads,True,,none,7.0,2026-03-22 03:05:22.902197+00:00,1.0,active,annual,0.0,0.0,none,2025-06-15 00:00:00+00:00,,Free,free,0.0,31,25,1982.6153846153845,12,27.71,6.0,0.0,4.0,4243.16,0
10,GlowSystems,Education,enterprise,Singapore,2025-03-08 00:00:00+00:00,organic,True,,none,7.0,2026-03-22 03:05:22.902197+00:00,5.0,active,monthly,59.0,0.0,none,2025-03-08 00:00:00+00:00,,Professional Plus,professional,59.0,24,20,1641.7058823529412,13,22.37,5.0,0.0,0.0,307.53,0
11,Xenon Cloud,E-commerce,small,United Kingdom,2024-06-29 00:00:00+00:00,paid_ads,True,,none,7.0,2026-03-22 03:05:22.902197+00:00,2.0,active,annual,7.5,25.0,none,2024-06-29 00:00:00+00:00,,Starter,starter,12.0,32,26,1830.1379310344828,14,28.1,5.0,0.0,2.3333333333333335,1180.0700000000002,0
