customer_id,company_name,plan_tier,segment,r_score,f_score,m_score,rfm_total,recency_days,frequency,monetary,engagement_score,is_churned
1,Rush Platform,free,Cannot Lose Them,1,3,2,6,214,28,988.7,24.89,1
2,TrekStack,free,Potential Loyalists,4,1,1,6,157,18,388.21,18.17,0
3,Wave Group,free,Needs Attention,1,1,3,5,372,19,1519.2699999999998,18.58,0
4,KeenSoftware,enterprise,Potential Loyalists,4,2,2,8,155,25,1125.7,21.93,0
5,QuestAnalytics,starter,Loyal Customers,3,4,3,10,160,29,1324.98,25.03,0
6,RiftWorks,free,Needs Attention,1,1,4,6,452,21,3280.84,20.88,0
7,PeakIO,free,Champions,4,4,4,12,157,33,4392.51,27.58,0
8,Data Systems,free,Promising,4,3,2,9,150,26,886.83,23.37,0
9,Iris Hub,free,Loyal Customers,3,4,4,11,175,31,4243.16,27.71,0
10,GlowSystems,professional,Lost,2,2,1,5,200,24,307.53,22.37,0
11,Xenon Cloud,starter,Loyal Customers,4,4,3,11,154,32,1180.0700000000002,28.1,0
12,QuarkDev,enterprise,Loyal Customers,4,3,3,10,151,28,1997.86,23.2,0
13,Vertex Labs,free,Potential Loyalists,4,1,1,6,149,17,616.23,17.99,1
14,Keen Ventures,enterprise,At Risk,2,4,4,10,194,30,3220.7999999999997,25.14,0
15,DataLogic,starter,Potential Loyalists,4,1,3,8,151,21,1801.1100000000001,21.19,0
16,Iris Labs,starter,Promising,4,3,1,8,157,26,519.45,25.04,0
17,DriftCloud,starter,Promising,3,4,1,8,170,31,267.53,26.91,0
18,LinkIO,professional,Loyal Customers,3,3,3,9,159,26,1785.98,25.09,0
19,Flow Corp,professional,At Risk,2,4,4,10,183,30,2886.65,27.05,1
20,AcmeHQ,enterprise,Needs Attention,1,2,3,6,268,23,1316.6,24.85,0
21,NexusStack,professional,Promising,3,3,2,8,175,25,821.03,22.95,0
22,Onyx Analytics,professional,Cannot Lose Them,1,3,2,6,242,26,696.78,24.8,0
23,KitePro,enterprise,Lost,2,2,2,6,182,24,896.6600000000001,23.02,0
24,TidalStudio,starter,Lost,2,1,1,4,192,19,564.05,21.42,0
25,PulseSolutions,free,Needs Attention,2,2,3,7,182,24,1975.15,22.95,0
26,YieldAI,enterprise,Needs Attention,1,2,4,7,222,24,3011.64,21.61,0
27,WaveStack,professional,Needs Attention,1,2,4,7,228,22,3489.52,21.2,1
28,Keen Software,starter,At Risk,2,3,3,8,206,26,2071.79,22.28,0
29,QuestSystems,starter,Lost,2,1,1,4,203,21,326.77,19.1,0
30,NexusVentures,starter,Potential Loyalists,4,1,4,9,149,12,4572.34,15.83,0
31,VineSolutions,professional,Needs Attention,1,1,3,5,278,18,2323.3,18.76,0
32,Arc Stack,starter,Potential Loyalists,4,1,1,6,147,15,441.08,16.35,0
33,SageDev,professional,Potential Loyalists,3,1,1,5,174,16,247.64999999999998,15.13,0
34,JadeHQ,professional,Lost,1,2,1,4,232,23,274.15000000000003,21.85,0
35,PulseAnalytics,starter,Promising,4,3,1,8,156,25,560.6,24.06,0
36,YieldHub,professional,Lost,2,1,1,4,183,21,502.38,18.18,0
37,Flux Labs,professional,At Risk,2,3,3,8,185,27,1456.33,25.21,0
38,FlowStack,enterprise,Promising,4,4,1,9,152,33,539.0699999999999,28.07,0
39,QuarkTech,free,Needs Attention,2,4,2,8,200,30,935.61,24.87,0
40,PulseDigital,starter,Potential Loyalists,4,1,4,9,157,18,4933.12,18.99,0
41,TidalSystems,starter,Potential Loyalists,4,1,4,9,155,21,3401.2400000000002,20.03,0
42,KeenAI,professional,Potential Loyalists,4,1,2,7,147,14,1058.92,15.94,0
43,TrekDigital,free,At Risk,2,3,3,8,201,25,1264.9499999999998,21.5,0
44,Drift Ventures,free,Cannot Lose Them,1,4,2,7,240,29,968.06,24.99,0
45,JadeLabs,free,Promising,4,4,2,10,148,31,693.3,26.59,0
46,SagePlatform,free,Needs Attention,2,2,4,8,184,24,2585.15,21.71,0
47,UltraSystems,starter,Lost,1,1,2,4,354,19,706.8,18.9,0
48,SyncPlatform,enterprise,Needs Attention,2,3,1,6,211,26,605.01,22.12,1
49,EchoIO,free,Lost,2,1,2,5,200,18,959.98,17.76,0
50,Warp Corp,free,Lost,1,1,1,3,309,21,473.82,19.33,0
51,WarpSoftware,starter,Cannot Lose Them,1,3,1,5,260,27,506.6,25.16,0
52,Orbit Analytics,free,Lost,2,1,1,4,200,21,389.83,20.3,1
